asset_id	name	type	family	logical_family	planned_status	authority	data_gate	consumer	countable_now
ICM-001	AI-1 Crucible CNN	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-001	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-002	AI-1b Few-shot NCM	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-002	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-003	AI-2 Sinter AE	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-003	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-004	AI-3 TinyTransformer	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-004	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-005	AI-4 Risk Fusion	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-005	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-006	AI-5 Root-cause	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-006	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-007	AI-6 Optical TS	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-007	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-008	AI-7 Thermal Quench	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-008	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-009	AI-8 Energy/CO2	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-009	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-010	AI-9 Recipe kNN	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-010	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
ICM-011	AI-10 Vibration PdM	BASELINE_PREDICTIVE	FROZEN_BASELINE	ICM-011	BOARD_ACCEPTED	0	FROZEN_EVIDENCE	LEGACY_UI_RUNTIME	1
