# AI-10 REAL capture from THIS motor + ADXL345 (2026-06-02), software-PWM 50%.
# Each [cap] line = one 1-s, 64-sample ADXL345 magnitude window in mg
# (chronological, oldest first) + motor-commanded label (run=0 stopped / 1 running).
# run=0 (rest) windows were captured as ALL ZERO (at rest the magnitude is just
#   gravity -> |4*sqrt(x^2+y^2+z^2) - 1000mg| ~= 0), so the stopped class is
#   regenerated in train_vib_real2.py as zeros + small jitter (robust to bumps).
# run=1 windows below are the genuine captured vibration of this motor.
[cap] run=1 w=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,376,376,244,244,0,0,0,0,964,964,3724,3724,3724,4772,4772,1320,1320,5600,5600,6616,6616,7400,7400,7184,7184,4732,4732,7488,7488,3436,3436,5068,5068,4532,4532,6608,6608,3200,3200,5060,5060,2876,2876,5972,5972,5972
[cap] run=1 w=3312,3312,2076,2076,0,0,1764,1764,3456,3456,3096,3096,648,648,2828,2828,2016,2016,964,964,2716,2716,3676,3676,2948,2948,608,608,3092,3092,1356,1356,1164,1164,2824,2824,2824,3724,3724,2864,2864,3448,3448,2452,2452,3004,3004,760,760,3092,3092,3580,3580,2140,2140,3856,3856,1512,1512,952,952,640,640,3340
[cap] run=1 w=2172,1356,1356,3268,3268,3412,3412,2152,2152,2152,2104,2104,2252,2252,1512,1512,0,0,1480,1480,3328,3328,3084,3084,2508,2508,3740,3740,2232,2232,172,172,2756,2756,2756,2756,2920,2920,1164,1164,1904,1904,2268,2268,2268,0,0,2496,2496,3516,3516,2716,2716,3508,3508,1428,1428,2112,2112,1676,1676,3104,3104,3464
[cap] run=1 w=176,2380,2380,3764,3764,2540,2540,2904,2904,2000,2000,2604,2604,1544,1544,1544,2668,2668,3108,3108,2040,2040,3644,3644,1724,1724,2048,2048,2572,2572,3360,3360,3096,3096,624,624,3664,3664,3600,3600,808,808,2020,2020,2780,2780,3396,3396,812,812,812,3364,3364,0,0,1716,1716,1648,1648,3024,3024,3316,3316,1544
[cap] run=1 w=2128,4204,4204,2448,2448,2500,2500,0,0,1584,1584,1420,1420,2124,2124,984,984,2544,2544,2412,2412,2704,2704,2704,2212,2212,2444,2444,3716,3716,1920,1920,3580,3580,0,0,1908,1908,220,220,2160,2160,3632,3632,2620,2620,2976,2976,2076,2076,2292,2292,1628,1628,2852,2852,3256,3256,3256,1876,1876,3796,3796,440
[cap] run=1 w=3112,168,168,2484,2484,2628,2628,3392,3392,1636,1636,2268,2268,2032,2032,0,0,2600,2600,3576,3576,2864,2864,1068,1068,1644,1644,1124,1124,1124,0,0,2544,2544,2876,2876,3008,3008,596,596,2736,2736,1724,1724,320,320,2732,2732,3296,3296,2936,2936,1724,1724,2028,2028,1524,1524,0,0,2832,2832,3452,3452
[cap] run=1 w=1864,0,0,2568,2568,3532,3532,2460,2460,2584,2584,3816,3816,2700,2700,0,0,2432,2432,3184,3184,2764,2764,2788,2788,1600,1600,2068,2068,348,348,2488,2488,3260,3260,3260,2780,2780,1932,1932,1440,1440,1540,1540,388,388,2256,2256,3236,3236,3080,3080,3856,3856,3264,3264,3212,3212,0,0,2776,2776,2760,2760
[cap] run=1 w=3448,3448,2684,2684,2420,2420,2420,1256,1256,2084,2084,0,0,2772,2772,3368,3368,2796,2796,2212,2212,1380,1380,1704,1704,0,0,2236,2236,3304,3304,2908,2908,1560,1560,1992,1992,1180,1180,620,620,620,2384,2384,3364,3364,3008,3008,352,352,2792,2792,3480,3480,0,0,2480,2480,2544,2544,3164,3164,212,212
[cap] run=1 w=1836,1836,2368,2368,3212,3212,1808,1808,3752,3752,1032,1032,2344,2344,2344,1588,1588,2400,2400,3568,3568,2168,2168,3776,3776,844,844,2556,2556,1200,1200,2620,2620,3300,3300,2452,2452,3540,3540,948,948,2788,2788,0,0,2520,2520,2520,3640,3640,2908,2908,2160,2160,972,972,1172,1172,0,0,2652,2652,2856,2856
[cap] run=1 w=236,236,2316,2316,2740,2740,3148,3148,948,948,2320,2320,2164,2164,0,0,3080,3080,3088,3088,3088,2756,2756,1008,1008,2016,2016,3520,3520,256,256,1676,1676,2424,2424,3444,3444,604,604,3380,3380,268,268,1720,1720,712,712,2384,2384,3284,3284,2496,2496,2344,2344,2344,2672,2672,2384,2384,0,0,1936,1936
